id,title,category,qty,price_min,price_max,status,lots,photo,condition,featured
2071,8 FELIX & FLORA TODDLER GIRLS SANDALS CLOSED TOE,Footwear,1,1.0,1.0,available,2071,,Overstock,
2098,MEDIUM  TOMMY HILFIGER COLLARED LONG SLEEVE SHIRT,Apparel & Clothing,1,9.0,9.0,available,2098,lot2098.jpg,Overstock,
2110,ELEMENTAL LEAK-PROOF 18OZ KIDS BOTTLE PINK,Baby & Kids,1,1.0,1.0,available,2110,lot2110.jpg,Overstock,
2169,5 FRANCO SARTO CAROLYNN LOAFERS SLIP-ON TASSEL,Footwear,1,8.0,8.0,available,2169,lot2169.jpg,Overstock,
2246,XL HANES MENS ESSENTIALS MUSCLE T-SHIRT PACK,Apparel & Clothing,1,3.0,3.0,available,2246,lot2246.jpg,Overstock,
2252,"M TENA MEN'S WASHABLE BOXERS, MED BLACK",Apparel & Clothing,1,1.0,1.0,available,2252,lot2252.jpg,Overstock,
2289,SMALL PHILCOS CFL SASKATCHEWAN ROUGHRIDERS T-SHIRT,Apparel & Clothing,1,1.0,1.0,available,2289,lot2289.jpg,Overstock,
2299,UK 4 ORLIMAR WOMENS LADIES GOLF SANDALS SANDALS,Footwear,1,4.0,4.0,available,2299,lot2299.jpg,Overstock,
2328,37 WOMEN'S RUNNING SHOES SIZE 37,Footwear,1,2.0,2.0,available,2328,lot2328.jpg,Overstock,
2447,LARGE HANES MEN'S COMFORTSOFT KNITBOXER 4-PACK,Apparel & Clothing,1,4.0,4.0,available,2447,lot2447.jpg,Overstock,
2516,S NIKE BREAKER ESSENTIAL BRIEF TRUNKS,Apparel & Clothing,1,3.0,3.0,available,2516,lot2516.jpg,Overstock,
2567,STEELSERIES ARCTIS NOVA 7X WIRELESS HEADSET,Electronics,1,1.0,1.0,available,2567,lot2567.jpg,Overstock,
2617,AMAZON BASICS ELECTRIC COFFEE GRINDER,Home & Kitchen,2,1.0,1.0,available,2617;3537,lot2617.jpg,Overstock,
2702,LARGE  HARRY POTTER MENS T-SHIRTT-SHIRT,Apparel & Clothing,1,4.0,4.0,available,2702,lot2702.jpg,Overstock,
2735,"BRITA FILTERING WATER BOTTLE, 26 OZ, SEA GLASS",Home & Kitchen,1,2.0,2.0,available,2735,lot2735.jpg,Overstock,
2817,"AMAZFIT ACTIVE 3 SMARTWATCH, GPS, AMOLED",Bags & Accessories,1,62.5,62.5,available,2817,lot2817.jpg,Overstock,
3297,7.5 SKECHERS MENS SUMMIT HANDS FREE SNEAKER,Footwear,1,2.0,2.0,available,3297,lot3297.jpg,Overstock,
3312,US 6W CLARKS WOMENS ELLIOTTE SAIL MOCCASIN,Footwear,1,5.0,5.0,available,3312,lot3312.jpg,Overstock,
3445,3-6 MONTHS  SIMPLE JOYS CARTER'S BABY-BOYS ROMPERS,Baby & Kids,1,4.0,4.0,available,3445,lot3445.jpg,Overstock,
3640,4 XL  NAUTICA MEN'S SOLID CREW NECK POCKET T-SHIRT,Apparel & Clothing,1,3.0,3.0,available,3640,lot3640.jpg,Overstock,
3950,M HANES MEN'S 4 PACK FRESHIQ COTTON WOVEN BOXER,Apparel & Clothing,1,4.0,4.0,available,3950,lot3950.jpg,Overstock,
4172,9M NATURALIZER BRIDGET4 STRAPPY SANDAL,Footwear,1,2.0,2.0,available,4172,lot4172.jpg,Overstock,
4177,"NA NEENCA PRO KNEE BRACE, MEDICAL SUPPORT",Health & Fitness,1,3.0,3.0,available,4177,lot4177.jpg,Overstock,
4203,APPLE 2022 MACBOOK AIR 13.6-INCH,Electronics,1,630.0,630.0,available,4203,lot4203.jpg,Overstock,
4258,KVIDIO BLUETOOTH HEADPHONES WIRELESS OVER-EAR,Electronics,1,1.0,1.0,available,4258,lot4258.jpg,Overstock,
4426,M  AMAZON ESSENTIALS MEN'S FULL-ZIP HOODIE,Apparel & Clothing,1,1.0,1.0,available,4426,lot4426.jpg,Overstock,
4427,L NIKE BOYS DRI-FIT BOXER BRIEFS (3-PACK),Apparel & Clothing,1,10.0,10.0,available,4427,lot4427.jpg,Overstock,
4564,LARGE  JERZEES 4997_AP JZ 9.5 OZ 50/50 P/O FLC HOO,Apparel & Clothing,1,4.0,4.0,available,4564,lot4564.jpg,Overstock,
4595,9.5 NEW BALANCE FRESH FOAM 680 V9 RUNNING SHOE SIZ,Footwear,1,12.0,12.0,available,4595,lot4595.jpg,Overstock,
4625,L FRUIT OF THE LOOM MENS COMFORT CASUAL BOXERS,Apparel & Clothing,2,6.0,6.0,available,4625;4997,lot4625.jpg,Overstock,
4631,SAXX MEN'S NON-STOP COTTON TRUNK 2-PACK SMALL,Apparel & Clothing,1,5.0,5.0,available,4631,lot4631.jpg,Overstock,
4668,MEDIUM TACVASEN MEN'S QUICK DRY CARGO SHORTS,Apparel & Clothing,1,1.0,1.0,available,4668,lot4668.jpg,Overstock,
4887,"QUEEN COMFORTER: DOWN ALTERNATIVE, WHITE",Home & Kitchen,1,1.0,1.0,available,4887,lot4887.jpg,Overstock,
4954,NA UPPABABY MINU V3 TRAVEL STROLLER - STONE BLUE,Baby & Kids,1,320.0,320.0,available,4954,lot4954.jpg,Overstock,
5017,US 7.5 REEBOK CLASSIC PRINCESS WIDE D SNEAKERS,Footwear,1,1.0,1.0,available,5017,lot5017.jpg,Overstock,
5119,7 CLARKS MENS SAILVIEW STEP LOAFER,Footwear,1,4.0,4.0,available,5119,lot5119.jpg,Overstock,
5212,LOGITECH MK270 KEYBOARD & MOUSE - ROSE,Electronics,1,1.0,1.0,available,5212,lot5212.jpg,Overstock,
5272,7.5 BETSEY JOHNSON WOMENS CLARK PUMP SIZE-7.5,Footwear,1,15.0,15.0,available,5272,lot5272.jpg,Overstock,
5325,36 AMAZON ESSENTIALS MEN'S CARGO SHORTS,Apparel & Clothing,1,3.0,3.0,available,5325,lot5325.jpg,Overstock,
5492,"5,5 AMAZON ESSENTIALS WOMEN'S SHOGUN SANDAL",Footwear,1,1.0,1.0,available,5492,lot5492.jpg,Overstock,
15695,APPLE IPHONE 12 64GB BLACK - UNLOCKED,Electronics,4,57.5,70.0,available,5537;15695;15811;15846,lot15695.jpg,Overstock,
5802,12 COLE HAAN NANTUCKET CROSS STRAP SANDAL,Footwear,1,1.0,1.0,available,5802,lot5802.jpg,Overstock,
5913,THERMOS ICON 24OZ STAINLESS BOTTLE WITH SPOUT,Home & Kitchen,1,1.0,1.0,available,5913,lot5913.jpg,Overstock,
5966,UK 8 SKECHERS WOMENS ON-THE-GO 600 DAINTY SANDAL,Footwear,1,4.0,4.0,available,5966,lot5966.jpg,Overstock,
6035,MEDIUM  WOMEN'S COTTON SHORT PYJAMA NIGHT SHORT XS,Apparel & Clothing,1,1.0,1.0,available,6035,lot6035.jpg,Overstock,
6057,L AMAZON ESSENTIALS WOMENS SLIM-FIT TANK,Apparel & Clothing,1,2.0,2.0,available,6057,lot6057.jpg,Overstock,
6151,"NA PHILIPS AVENT NATURAL GLASS BABY BOTTLES, 4OZ",Baby & Kids,1,3.0,3.0,available,6151,lot6151.jpg,Overstock,
6236,LANSINOH ANTI-COLIC BOTTLES WITH NIPPLES 160ML,Baby & Kids,1,1.0,1.0,available,6236,lot6236.jpg,Overstock,
6299,REVIX XXXL KNEE ICE WRAP FOR ARTHRITIS,Health & Fitness,1,1.0,1.0,available,6299,lot6299.jpg,Overstock,
6355,CASA PLATINO OVERSIZED KING COMFORTER DUVET,Home & Kitchen,1,1.0,1.0,available,6355,lot6355.jpg,Overstock,
6374,8 NINE WEST GRISELDA3-BLACK/NB SANDAL,Footwear,1,3.0,3.0,available,6374,lot6374.jpg,Overstock,
6378,"ELLO 32OZ STAINLESS WATER BOTTLE, INSULATED",Home & Kitchen,1,1.0,1.0,available,6378,lot6378.jpg,Overstock,
6396,42.5 DC MENS COURT GRAFFIK,Footwear,1,13.0,13.0,available,6396,lot6396.jpg,Overstock,
6410,"GARMIN FORERUNNER 945 LTE SMARTWATCH, BLACK",Bags & Accessories,1,95.0,95.0,available,6410,lot6410.jpg,Overstock,yes
6415,DANBY DPA050E2BDB-6 7500 BTU A/C FAN,Home & Kitchen,1,22.0,22.0,available,6415,lot6415.jpg,Overstock,
6452,MERRELL MENS PROMORPH TRAIL RUNNING SHOE,Footwear,1,5.0,5.0,available,6452,lot6452.jpg,Overstock,
6461,NA AMAZON ESSENTIALS MENS SLIM-FIT V-NECK T-SHIRT,Apparel & Clothing,1,1.0,1.0,available,6461,lot6461.jpg,Overstock,
6488,3 KEEN UNISEX-CHILD SEACAMP 2 CNX-C SANDALS,Footwear,1,2.0,2.0,available,6488,lot6488.jpg,Overstock,
6566,7.5 SKECHERS WOMEN'S HANDS FREE SLIP-INS SUMMITS,Footwear,1,11.0,11.0,available,6566,lot6566.jpg,Overstock,
6671,28 LEVI'S WOMENS CINCH MID-THIGH SHORTSHORTS,Apparel & Clothing,1,3.0,3.0,available,6671,lot6671.jpg,Overstock,
6692,TURTLE BEACH STEALTH 500 WIRELESS HEADSET,Electronics,1,1.0,1.0,available,6692,lot6692.jpg,Overstock,
6729,7.5M STEVE MADDEN WOMEN'S LOCKE HEELED SANDALS,Footwear,1,1.0,1.0,available,6729,lot6729.jpg,Overstock,
6834,"SONY LINKBUDS CLIP OPEN-EAR EARBUDS, LAVENDER",Electronics,1,5.0,5.0,available,6834,lot6834.jpg,Overstock,
6933,US 10.5W NEW BALANCE DYNASOFT NERGIZE V2 TRAINER,Footwear,1,4.0,4.0,available,6933,lot6933.jpg,Overstock,
6959,8 JEWEL BADGLEY MISCHKA CELINE HEELED SANDAL,Footwear,1,1.0,1.0,available,6959,lot6959.jpg,Overstock,
7010,ROWENTA 2-IN-1 DUO FORCE IRON & STEAMER JR4031,Home & Kitchen,1,17.0,17.0,available,7010,lot7010.jpg,Overstock,
7091,10 KEEN PYRENEES MID HEIGHT WATERPROOF BOOTS,Footwear,1,10.0,10.0,available,7091,lot7091.jpg,Overstock,
7164,LARGE  JACK & JONES MENS POLO SSPOLO SHIRT,Apparel & Clothing,1,1.0,1.0,available,7164,lot7164.jpg,Overstock,
7377,"LEEMC WIRELESS EARBUDS, 5.4 BT, 80HR PLAYTIME",Electronics,1,7.0,7.0,available,7377,lot7377.jpg,Overstock,
7414,T-FAL INGENIO 11-PC POTS & PANS BEIGE,Home & Kitchen,1,45.0,45.0,available,7414,lot7414.jpg,Overstock,
7554,NA DR. BROWN'S NATURAL FLOW BOTTLES 2-PACK,Baby & Kids,1,1.0,1.0,available,7554,lot7554.jpg,Overstock,
7624,30 LEVI'S WOMENS CINCH MID-THIGH SHORTSHORTS,Apparel & Clothing,1,3.0,3.0,available,7624,lot7624.jpg,Overstock,
7640,CONAIR GS7NXRC UPRIGHT FABRIC STEAMER 1200W,Home & Kitchen,1,3.0,3.0,available,7640,lot7640.jpg,Overstock,
7730,18 X RAY BOYS RBS-19021CARGO SHORTS,Apparel & Clothing,1,1.0,1.0,available,7730,lot7730.jpg,Overstock,
7846,USA 9 UNDER ARMOUR IGNITE PRO 8 SLIDES SANDAL,Footwear,1,2.0,2.0,available,7846,lot7846.jpg,Overstock,
7860,0M CARTER'S SIMPLE JOYS BABY-GIRLS SLEEPERS,Baby & Kids,1,6.0,6.0,available,7860,lot7860.jpg,Overstock,
7890,5.5 SKECHERS WOMEN'S BREATHE-EASY SNEAKER,Footwear,1,1.0,1.0,available,7890,lot7890.jpg,Overstock,
8029,33 LEVI'S WOMENS 501 ORIGINAL HIGH-RISE SHORTS,Apparel & Clothing,1,2.0,2.0,available,8029,lot8029.jpg,Overstock,
8122,5T CARTER'S BABY GIRLS' KNIT SHORTS 3-PACK,Apparel & Clothing,1,2.0,2.0,available,8122,lot8122.jpg,Overstock,
8129,18 MONTHS GERBER UNISEX BABY 8-PACK SHORT SLEEVE O,Apparel & Clothing,1,5.0,5.0,available,8129,lot8129.jpg,Overstock,
8243,SAM EDELMAN WOMENS POPPY SNEAKERS SNEAKER,Footwear,1,3.0,3.0,available,8243,lot8243.jpg,Overstock,
8316,"TODDLER SIPPEE CUP, SPOUT, 9M+, NON-SPILL",Baby & Kids,1,3.0,3.0,available,8316,lot8316.jpg,Overstock,
8372,7 STACY ADAMS MENS SANTOS,Footwear,1,1.0,1.0,available,8372,lot8372.jpg,Overstock,
10916,JOLLQUE WOMEN SMALL PATENT LEATHER BAG,Bags & Accessories,2,1.0,2.0,available,8660;10916,lot10916.jpg,Overstock,
9009,SKECHERS REGGAE WOMEN'S TIMELESS SANDAL,Footwear,1,1.0,1.0,available,9009,lot9009.jpg,Overstock,
9035,14 LEVI STRAUSS SIGNATURE GOLD SHAPING JEANS,Apparel & Clothing,1,2.0,2.0,available,9035,lot9035.jpg,Overstock,
9052,6.5 NEW BALANCE FRESH FOAM ROAV V1 RUNNING SHOE,Footwear,1,6.0,6.0,available,9052,lot9052.jpg,Overstock,
9096,6 SKECHERS WOMENS D'LITES-CHROMATIC SNEAKER,Footwear,1,4.0,4.0,available,9096,lot9096.jpg,Overstock,
9737,LOGITECH MK335 WIRELESS KEYBOARD MOUSE COMBO,Electronics,1,2.0,2.0,available,9737,lot9737.jpg,Overstock,
9780,DELL PREMIER KEYBOARD KM7321W (RENEWED),Electronics,1,1.0,1.0,available,9780,lot9780.jpg,Overstock,
9936,OWALA FREESIP INSULATED STEEL BOTTLE 24OZ,Home & Kitchen,1,4.0,4.0,available,9936,lot9936.jpg,Overstock,
9949,US10 CLARKS MENS DESERT BOOT CHUKKA BOOT,Footwear,1,7.0,7.0,available,9949,lot9949.jpg,Overstock,
9980,12M DOCKERS SHOES NEWPAGE -90-21389 DK56 SANDAL,Footwear,1,2.0,2.0,available,9980,lot9980.jpg,Overstock,
9991,10.5 ADIDAS DURAMO SL 2 RUNNING CORE BLACK 10.5,Footwear,1,4.0,4.0,available,9991,lot9991.jpg,Overstock,
10036,"STANLEY QUENCHER H2.0 TUMBLER 14 OZ, HANDLE",Home & Kitchen,1,5.0,5.0,available,10036,lot10036.jpg,Overstock,
10089,"MAGIC BULLET BLENDER, MIXER & MINI-PROCESSOR",Home & Kitchen,1,3.0,3.0,available,10089,lot10089.jpg,Overstock,
10173,HYDRO FLASK MICRO BOTTLE - 6.7 OZ HARBOR BLUE,Home & Kitchen,1,5.0,5.0,available,10173,lot10173.jpg,Overstock,
10395,9 SKECHERS REGGAE SLIM SLIP-ONS,Footwear,1,3.0,3.0,available,10395,lot10395.jpg,Overstock,
10425,11 CHILDREN  KEEN KIDS TARGHEE 4 MID BOOTS,Footwear,1,4.0,4.0,available,10425,lot10425.jpg,Overstock,
10469,10 ADIDAS UNISEX-ADULT SAMBA INDOOR SNEAKER SIZE-1,Footwear,1,9.0,9.0,available,10469,lot10469.jpg,Overstock,
10492,"CHEFMAN 1.8L ELECTRIC KETTLE, 1500W",Home & Kitchen,1,1.0,1.0,available,10492,lot10492.jpg,Overstock,
10586,US 12M CLARKS MENS DERBY LACE-UP,Footwear,1,1.0,1.0,available,10586,lot10586.jpg,Overstock,
10617,US 30X32 GUESS WOMENS BELLFLOWER WIDE LEG JEANJEAN,Apparel & Clothing,1,1.0,1.0,available,10617,lot10617.jpg,Overstock,
10629,7 COLE HAAN MENS GRANDPRO LUXE SLIP-ON SNEAKER,Footwear,1,7.0,7.0,available,10629,lot10629.jpg,Overstock,
10675,9 SKECHERS ARCADE ARCH FIT ARCATA SNEAKER,Footwear,1,7.0,7.0,available,10675,lot10675.jpg,Overstock,
10833,6 SKECHERS WOMENS UNO - SHIMMER AWAY SNEAKERS,Footwear,1,5.0,5.0,available,10833,lot10833.jpg,Overstock,
11113,US- 10.5M/12W UNDER ARMOUR UNISEX-ADULT LOCKDOWN 7,Footwear,1,2.0,2.0,available,11113,lot11113.jpg,Overstock,
11139,10.5  CLARKS MENS WHIDDON CAP OXFORD,Footwear,1,6.0,6.0,available,11139,lot11139.jpg,Overstock,
11278,6 MADDEN GIRL WOMENS BODIEE SLIDE SANDAL,Footwear,1,1.0,1.0,available,11278,lot11278.jpg,Overstock,
11303,"APPLE IPHONE 12, 64GB, BLUE (RENEWED)",Electronics,1,90.0,90.0,available,11303,lot11303.jpg,Overstock,
11527,44.5 PUMA MENS FUTURE 9 PLAY TURF SOCCER CLEATS,Footwear,1,18.0,18.0,available,11527,lot11527.jpg,Overstock,
11534,8 TOMS WOMEN'S CLASSIC WEDGE ESPADRILLE SANDAL,Footwear,1,3.0,3.0,available,11534,lot11534.jpg,Overstock,
11547,10 UNDER ARMOUR WOMEN'S CHARGED ASSERT 11 SHOES,Footwear,1,1.0,1.0,available,11547,lot11547.jpg,Overstock,
11555,STANLEY QUICK FLIP GO BOTTLE 24 OZ,Home & Kitchen,1,2.0,2.0,available,11555,lot11555.jpg,Overstock,
11582,HYDRO FLASK 32 OZ WIDE MOUTH BOTTLE,Home & Kitchen,1,2.0,2.0,available,11582,lot11582.jpg,Overstock,
11594,8.5 W LIFESTRIDE WOMENS MIAMI WEDGE SANDAL,Footwear,1,2.0,2.0,available,11594,lot11594.jpg,Overstock,
11622,US 8.5W AMAZON ESSENTIALS BELICE SLIP-ON BALLET FL,Footwear,1,1.0,1.0,available,11622,lot11622.jpg,Overstock,
11671,8 AMAZON ESSENTIALS WOMEN'S SHOGUN SANDAL,Footwear,1,1.0,1.0,available,11671,lot11671.jpg,Overstock,
11788,40.5 NORTIV 8 WOMEN'S LIGHTWEIGHT HIKING SHOES,Footwear,1,3.0,3.0,available,11788,lot11788.jpg,Overstock,
11797,AMAZON BASICS 9 IN. MELAMINE PLATE - 6 PC,Home & Kitchen,1,2.0,2.0,available,11797,lot11797.jpg,Overstock,
11858,6W CLARKS WOMENS ELLIOTTE SAIL MOCCASIN,Footwear,1,1.0,1.0,available,11858,lot11858.jpg,Overstock,
11935,12.5W AMAZON ESSENTIALS WOMEN'S SHOGUN SANDAL,Footwear,1,1.0,1.0,available,11935,lot11935.jpg,Overstock,
11968,"TRAVELON 43203 580 CROSSBODY POUCH, ONYX",Bags & Accessories,1,5.0,5.0,available,11968,lot11968.jpg,Overstock,
12002,8 TEVA WOMENS HURRICANE DRIFT SANDAL,Footwear,1,1.0,1.0,available,12002,lot12002.jpg,Overstock,
12117,10.5 ADIDAS TERREX FREE HIKER 2.0 GTX WALKING SHOE,Footwear,1,15.0,15.0,available,12117,lot12117.jpg,Overstock,
12223,9.5US SKECHERS MENS GOWALK FLEX WALKING SHOES,Footwear,1,6.0,6.0,available,12223,lot12223.jpg,Overstock,
12259,WHITE DOWN ALTERNATIVE COMFORTER - FULL/MEDIUM,Home & Kitchen,1,1.0,1.0,available,12259,lot12259.jpg,Overstock,
12830,8 SKECHERS TEMPO WATERPROOF GOLF SHOE SNEAKER,Footwear,1,17.0,17.0,available,12830,lot12830.jpg,Overstock,
13365,CLARKS BREEZE SEA FLIP FLOPS SANDALS FLIP-FLOP,Footwear,1,1.0,1.0,available,13365,lot13365.jpg,Overstock,
15215,7M VINCE CAMUTO WOMENS ELTERA FLAT SANDAL,Footwear,1,4.0,4.0,available,15215,lot15215.jpg,Overstock,
16015,NEW BALANCE FRESH FOAM ARISHI V4 RUNNING SHOE 7.5,Footwear,1,6.0,6.0,available,16015,lot16015.jpg,Overstock,
